agefloor,mort
0,0
5,0
10,0.0025
15,0.0025
20,0.0022
25,0.0022
30,0.0026
35,0.0026
40,0.0048
45,0.0048
50,0.014
55,0.014
60,0.038
65,0.038
70,0.085
75,0.085
80,0.15
85,0.15
90,0.15
95,0.15
100,0.15
