agefloor,pop
0,3924
5,4120
10,3956
15,3686
20,4075
25,4484
30,4707
35,4588
40,4308
45,4296
50,4635
55,4539
60,3905
65,3382
70,3388
75,2442
80,1737
85,1078
90,491
95,130
100,16
